ticker,date,direction,gap_pct,abs_gap_pct,gap_bucket,atr,open_price,prev_close,candle_color,ft_level,has_ft,session_high,session_low,eod_close,hod_minutes_from_open,lod_minutes_from_open,entry_price,entry_time,ft_minutes_from_open,eod_return,eod_return_from_open,mae_pct,mfe_pct,adverse_after_ft,bounce_depth_before_dest,close_above_open,fwd_15min,fwd_30min,fwd_1hr,fwd_2hr
AA,2024-01-24,GAP_UP,0.0243902439024389,0.0243902439024389,2-5%,1.3971428571428566,30.24,29.52,BEARISH,29.681142857142856,True,30.34,29.335,29.775,130.0,25.0,29.62,2024-01-24 09:45:00-05:00,15.0,-0.005233,0.015377,0.024308,0.009622,True,0.000844,False,0.003714,-0.003883,-0.016712,-0.021101
AA,2024-02-27,GAP_UP,0.0299921073401737,0.0299921073401737,2-5%,1.213928571428571,26.1,25.34,BEARISH,25.614428571428572,True,27.0,25.235,26.7,240.0,0.0,25.43,2024-02-27 09:30:00-05:00,0.0,-0.049941,-0.022989,0.061738,0.007668,True,0.009438,True,-0.008651,-0.006292,-0.008061,-0.033032
AA,2024-03-06,GAP_UP,0.0286245353159852,0.0286245353159852,2-5%,1.1046428571428568,27.67,26.9,BEARISH,27.22814285714286,True,28.72,26.91,28.21,235.0,15.0,27.01,2024-03-06 09:35:00-05:00,5.0,-0.044428,-0.019516,0.06331,0.003702,True,0.002221,True,-0.00759,-0.004813,-0.020548,-0.03221
AA,2024-06-12,GAP_UP,0.0427754289977617,0.0427754289977617,2-5%,1.6560714285714293,41.93,40.21,BEARISH,41.26757142857143,True,42.21,39.72,39.72,0.0,385.0,41.215,2024-06-12 09:40:00-04:00,10.0,0.036273,0.052707,0.003154,0.036273,True,0.003154,False,0.003518,-0.000364,0.013709,0.012253
AA,2024-06-21,GAP_UP,0.0222079589216943,0.0222079589216943,2-5%,1.4724999999999997,39.815,38.95,BEARISH,39.226,False,40.54,39.175,40.4,385.0,5.0,,,,,-0.014692954916488784,,,,,,,,,
AA,2024-06-28,GAP_UP,0.0261564231413477,0.0261564231413477,2-5%,1.330714285714286,39.82,38.805,BEARISH,39.28771428571429,True,40.07,39.11,39.775,40.0,85.0,39.17,2024-06-28 10:55:00-04:00,85.0,-0.015445,0.00113,0.021445,0.001532,True,0.00434,False,-0.002298,-0.006382,-0.012765,-0.00868
AA,2024-07-11,GAP_UP,0.044302975185137,0.044302975185137,2-5%,1.4146428571428575,40.19,38.485,BEARISH,39.62414285714286,True,40.2,38.36,39.165,0.0,25.0,39.555,2024-07-11 09:30:00-04:00,0.0,0.00986,0.025504,0.016306,0.030211,True,-0.003287,False,0.016433,0.019467,0.011377,0.013525
AA,2024-07-12,GAP_UP,0.022852036256862,0.022852036256862,2-5%,1.4085714285714297,40.06,39.165,BEARISH,39.49657142857143,True,40.38,38.875,38.96,0.0,385.0,39.445,2024-07-12 09:50:00-04:00,20.0,0.012296,0.027459,0.002535,0.014451,True,0.002535,False,0.003803,0.001901,0.008239,0.00507
AA,2025-01-22,GAP_UP,0.0247217188713434,0.0247217188713434,2-5%,1.3364285714285704,39.585,38.63,BEARISH,39.050428571428576,True,39.83,38.71,38.81,0.0,370.0,38.79,2025-01-22 09:30:00-05:00,0.0,-0.000516,0.019578,0.026811,0.002062,True,0.012117,False,-0.008507,-0.0058,-0.003094,-0.005156
AA,2025-02-06,GAP_UP,0.0205327413984462,0.0205327413984462,2-5%,1.504285714285715,36.78,36.04,BEARISH,36.178285714285714,True,36.86,35.33,35.92,0.0,330.0,36.07,2025-02-06 10:45:00-05:00,75.0,0.004159,0.023382,0.002911,0.020516,True,0.002911,False,-0.000693,-0.001386,0.000277,0.005268
AA,2025-03-05,GAP_UP,0.0433944069431051,0.0433944069431051,2-5%,1.4874999999999992,32.46,31.11,BEARISH,31.865000000000002,True,32.65,31.67,32.37,0.0,120.0,31.86,2025-03-05 11:20:00-05:00,110.0,-0.016008,0.002773,0.022599,0.005964,True,-0.000314,False,0.000785,-0.000628,-0.003139,0.000785
AA,2025-10-09,GAP_UP,0.0252157497303129,0.0252157497303129,2-5%,1.378571428571428,38.015,37.08,BEARISH,37.46357142857143,True,38.07,36.8,37.005,0.0,275.0,37.385,2025-10-09 09:55:00-04:00,25.0,0.010165,0.026568,0.013508,0.015648,True,0.013508,False,-0.003879,-0.001204,-0.005216,-0.010566
AA,2025-10-13,GAP_UP,0.0456881781838947,0.0456881781838947,2-5%,1.4807142857142854,36.62,35.02,BEARISH,36.02771428571428,True,36.89,35.63,36.245,140.0,10.0,36.01,2025-10-13 09:35:00-04:00,5.0,-0.006526,0.01024,0.024438,0.010553,True,-0.000278,False,0.001111,-0.003194,-0.002499,-0.018884
AA,2026-01-26,GAP_UP,0.0217041800643085,0.0217041800643085,2-5%,3.0989285714285706,63.55,62.2,BEARISH,62.31042857142857,True,63.55,58.315,58.54,0.0,375.0,60.57,2026-01-26 09:30:00-05:00,0.0,0.033515,0.078836,0.049199,0.03723,True,0.015354,False,0.002642,-0.001321,-0.005613,0.013703
AA,2026-02-03,GAP_UP,0.0395222957298736,0.0395222957298736,2-5%,3.234285714285715,60.495,58.195,BEARISH,59.20128571428571,False,61.36,59.38,61.36,385.0,235.0,,,,,-0.014298702372096902,,,,,,,,,
AAL,2025-05-27,GAP_UP,0.0219043361645059,0.0219043361645059,2-5%,0.4842857142857144,11.43,11.185,BEARISH,11.236285714285714,False,11.8,11.375,11.655,120.0,0.0,,,,,-0.01968503937007871,,,,,,,,,
AAL,2025-10-09,GAP_UP,0.0538135593220338,0.0538135593220338,5-8%,0.4075,12.435,11.8,BEARISH,12.272,True,12.49,11.515,11.615,0.0,225.0,12.195,2025-10-09 09:30:00-04:00,0.0,0.04756,0.065943,0.02419,0.055761,True,0.01148,False,0.00574,0.00738,0.02665,0.041
AAL,2025-10-23,GAP_UP,0.0559237779618888,0.0559237779618888,5-8%,0.5328571428571428,12.745,12.07,BEARISH,12.531857142857142,True,13.04,12.35,12.765,285.0,5.0,12.51,2025-10-23 09:30:00-04:00,0.0,-0.020384,-0.001569,0.042366,0.01279,True,0.002798,True,-0.013189,0.002798,0.006395,-0.017186
AAL,2025-10-24,GAP_UP,0.0203681942812377,0.0203681942812377,2-5%,0.5814285714285713,13.025,12.765,BEARISH,12.792428571428571,False,13.89,12.91,13.79,245.0,0.0,,,,,-0.05873320537428014,,,,,,,,,
AAPL,2025-01-31,GAP_UP,0.0403948974866332,0.0403948974866332,2-5%,6.842142857142859,247.125,237.53,BEARISH,244.38814285714287,True,247.19,233.45,235.96,0.0,315.0,244.19,2025-01-31 09:35:00-05:00,5.0,0.033703,0.04518,0.006368,0.043982,True,0.000102,False,0.008518,0.006675,0.014046,0.018756
ABBV,2024-11-06,GAP_UP,0.0204294143898448,0.0204294143898448,2-5%,3.781071428571426,205.79,201.67,BEARISH,204.27757142857143,True,206.12,200.94,201.16,5.0,385.0,204.2,2024-11-06 09:40:00-05:00,10.0,0.014887,0.022499,0.000441,0.015965,False,-0.000808,False,0.007248,0.007297,0.006121,0.009843
ABBV,2025-04-03,GAP_UP,0.0273077485736577,0.0273077485736577,2-5%,5.174285714285714,210.67,205.07,BEARISH,208.6002857142857,True,210.67,201.25,201.565,0.0,385.0,207.72,2025-04-03 09:45:00-04:00,15.0,0.029631,0.043219,0.008232,0.031148,True,0.000361,False,0.010784,0.01141,0.010928,0.017451
ABNB,2025-11-07,GAP_UP,0.0412794556920014,0.0412794556920014,2-5%,2.9985714285714247,125.495,120.52,BEARISH,124.29557142857144,True,125.495,117.26,120.88,0.0,90.0,122.175,2025-11-07 09:30:00-05:00,0.0,0.0106,0.036774,0.027174,0.040229,True,0.000696,False,0.01371,0.011418,0.030571,0.031308
ACHR,2024-02-09,GAP_UP,0.0270270270270271,0.0270270270270271,2-5%,0.2853571428571428,5.32,5.18,BEARISH,5.205857142857143,False,5.45,5.285,5.405,205.0,10.0,,,,,-0.01597744360902255,,,,,,,,,
ACHR,2024-02-22,GAP_UP,0.0208333333333332,0.0208333333333332,2-5%,0.2764285714285713,5.145,5.04,BEARISH,5.034428571428571,True,5.15,4.86,4.86,15.0,380.0,5.025,2024-02-22 10:35:00-05:00,65.0,0.032836,0.055394,0.00597,0.032836,True,0.00597,False,0.004975,0.006965,0.006965,0.006965
ACHR,2024-03-21,GAP_UP,0.0217391304347826,0.0217391304347826,2-5%,0.3546428571428572,5.17,5.06,BEARISH,5.028142857142857,True,5.185,5.0,5.11,350.0,125.0,5.025,2024-03-21 10:40:00-04:00,70.0,-0.016915,0.011605,0.031841,0.004975,True,0.008955,False,-0.004975,-0.002985,-0.000995,-0.0199
ACHR,2024-04-04,GAP_UP,0.027272727272727,0.027272727272727,2-5%,0.2414285714285714,4.52,4.4,BEARISH,4.423428571428571,True,4.54,4.385,4.47,5.0,50.0,4.415,2024-04-04 10:05:00-04:00,35.0,-0.012458,0.011062,0.014723,0.006795,True,0.007928,False,0.006795,-0.006795,0.0,-0.012458
ACHR,2024-06-05,GAP_UP,0.0476923076923076,0.0476923076923076,2-5%,0.16,3.405,3.25,BEARISH,3.3409999999999997,True,3.55,3.29,3.445,220.0,15.0,3.33,2024-06-05 09:35:00-04:00,5.0,-0.034535,-0.011747,0.066066,0.012012,True,0.0,True,-0.003003,0.0,-0.022523,-0.024024
ACHR,2024-07-03,GAP_UP,0.0430686406460296,0.0430686406460296,2-5%,0.2553571428571428,3.875,3.715,BEARISH,3.7728571428571427,False,4.33,3.82,4.21,155.0,0.0,,,,,-0.0864516129032258,,,,,,,,,
ACHR,2024-07-05,GAP_UP,0.1306413301662707,0.1306413301662707,12%+,0.2803571428571428,4.76,4.21,BEARISH,4.647857142857142,True,4.76,4.24,4.4,0.0,90.0,4.57,2024-07-05 09:30:00-04:00,0.0,0.037199,0.07563,0.041575,0.07221,True,0.003282,False,0.04267,0.028446,0.070022,0.062363
ACHR,2024-07-08,GAP_UP,0.0454545454545452,0.0454545454545452,2-5%,0.2835714285714285,4.6,4.4,BEARISH,4.486571428571429,True,4.6,4.415,4.51,0.0,20.0,4.455,2024-07-08 09:30:00-04:00,0.0,-0.012346,0.019565,0.032548,0.008979,True,0.026936,False,0.0,-0.012346,-0.01459,-0.010101
ACHR,2024-07-11,GAP_UP,0.0238907849829352,0.0238907849829352,2-5%,0.3214285714285713,4.5,4.395,BEARISH,4.371428571428572,True,4.56,4.31,4.56,375.0,130.0,4.335,2024-07-11 11:30:00-04:00,120.0,-0.051903,-0.013333,0.051903,0.005767,True,0.001153,True,0.0,0.0,-0.017301,-0.027682
ACHR,2024-07-12,GAP_UP,0.0416666666666667,0.0416666666666667,2-5%,0.3242857142857142,4.75,4.56,BEARISH,4.620285714285714,False,5.18,4.675,5.04,65.0,0.0,,,,,-0.06105263157894738,,,,,,,,,
ACHR,2024-07-15,GAP_UP,0.0367063492063491,0.0367063492063491,2-5%,0.3207142857142856,5.225,5.04,BEARISH,5.0967142857142855,True,5.25,4.95,5.05,25.0,65.0,5.095,2024-07-15 09:30:00-04:00,0.0,0.008832,0.033493,0.030422,0.028459,True,0.030422,False,-0.018646,-0.028459,0.026497,0.002944
ACHR,2024-07-26,GAP_UP,0.0419501133786847,0.0419501133786847,2-5%,0.3203571428571429,4.595,4.41,BEARISH,4.466857142857142,False,4.765,4.51,4.685,265.0,55.0,,,,,-0.019586507072905303,,,,,,,,,
ACHR,2024-07-29,GAP_UP,0.0202774813233726,0.0202774813233726,2-5%,0.32,4.78,4.685,BEARISH,4.652,True,4.81,4.385,4.46,0.0,345.0,4.62,2024-07-29 10:10:00-04:00,40.0,0.034632,0.066946,0.00974,0.050866,False,-0.001082,False,0.005411,0.00974,0.016234,0.030303
ACHR,2024-08-06,GAP_UP,0.0435339308578746,0.0435339308578746,2-5%,0.3064285714285715,4.075,3.905,BEARISH,3.9524285714285714,True,4.095,3.845,3.915,0.0,15.0,3.91,2024-08-06 09:35:00-04:00,5.0,-0.001279,0.039264,0.024297,0.016624,True,-0.01023,False,0.011509,-0.012788,-0.015345,-0.006394
ACHR,2024-09-26,GAP_UP,0.0206896551724138,0.0206896551724138,2-5%,0.1478571428571428,2.96,2.9,BEARISH,2.900857142857143,True,2.99,2.825,2.91,150.0,60.0,2.89,2024-09-26 10:15:00-04:00,45.0,-0.00692,0.016892,0.034602,0.022491,True,0.0,False,0.017301,0.0,-0.015571,-0.025952
ACHR,2024-10-04,GAP_UP,0.032312925170068,0.032312925170068,2-5%,0.1535714285714285,3.035,2.94,BEARISH,2.9735714285714288,True,3.04,2.87,2.975,10.0,50.0,2.97,2024-10-04 09:50:00-04:00,20.0,-0.001684,0.019769,0.013468,0.03367,True,-0.005051,False,0.018519,0.03367,0.018519,0.010101
